         19185552 function calls (19185235 primitive calls) in 79.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 typing.py:2187(cast)
        3    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
        1    0.000    0.000    0.000    0.000 python_parser.py:912(_check_decimal)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        3    0.000    0.000    0.000    0.000 common.py:126(_classes_and_not_datetimelike)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 common.py:1270(is_1d_only_ea_dtype)
